[Step 0] Agent 0 Action: 2, Reward: 0.0000
[Simulate] Step 1383: Queue length 8, Waiting time 508.0
[Simulate] Step 1384: Queue length 8, Waiting time 516.0
[Simulate] Step 1385: Queue length 8, Waiting time 524.0
[Simulate] Step 1386: Queue length 8, Waiting time 532.0
[Simulate] Step 1387: Queue length 8, Waiting time 540.0
[Simulate] Step 1388: Queue length 8, Waiting time 548.0
[Simulate] Step 1389: Queue length 8, Waiting time 556.0
[Simulate] Step 1390: Queue length 8, Waiting time 564.0
[Simulate] Step 1391: Queue length 8, Waiting time 572.0
[Simulate] Step 1392: Queue length 9, Waiting time 581.0
[Simulate] Step 1393: Queue length 9, Waiting time 590.0
[Simulate] Step 1394: Queue length 10, Waiting time 600.0
[Simulate] Step 1395: Queue length 10, Waiting time 610.0
[Simulate] Step 1396: Queue length 10, Waiting time 620.0
[Simulate] Step 1397: Queue length 10, Waiting time 630.0
[Simulate] Step 1398: Queue length 10, Waiting time 640.0
[Simulate] Step 1399: Queue length 10, Waiting time 650.0
[Simulate] Step 1400: Queue length 10, Waiting time 660.0
[Simulate] Step 1401: Queue length 10, Waiting time 670.0
[Simulate] Step 1402: Queue length 10, Waiting time 680.0
[Simulate] Step 1403: Queue length 10, Waiting time 690.0
[Simulate] Step 1404: Queue length 10, Waiting time 700.0
[Simulate] Step 1405: Queue length 11, Waiting time 711.0
[Simulate] Step 1406: Queue length 11, Waiting time 722.0
[Simulate] Step 1407: Queue length 11, Waiting time 733.0
[Simulate] Step 1408: Queue length 11, Waiting time 744.0
[Simulate] Step 1409: Queue length 11, Waiting time 755.0
[Simulate] Step 1410: Queue length 11, Waiting time 766.0
[Simulate] Step 1411: Queue length 12, Waiting time 778.0
[Simulate] Step 1412: Queue length 12, Waiting time 790.0
[Simulate] Step 1413: Queue length 12, Waiting time 802.0
[Simulate] Step 1414: Queue length 12, Waiting time 814.0
[Simulate] Step 1415: Queue length 12, Waiting time 826.0
[Simulate] Step 1416: Queue length 12, Waiting time 838.0
[Simulate] Step 1417: Queue length 13, Waiting time 851.0
[Simulate] Step 1418: Queue length 14, Waiting time 865.0
[Step 1418] Agent 0 Action: 1, Reward: -1.1540
[SetYellow] TL TL: Set yellow phase 7 out of 8 phases.
[Simulate] Step 1419: Queue length 14, Waiting time 879.0
[Simulate] Step 1420: Queue length 14, Waiting time 893.0
[Simulate] Step 1421: Queue length 14, Waiting time 907.0
[Simulate] Step 1422: Queue length 14, Waiting time 921.0
[Step 1422] Adaptive green duration: 50
[Simulate] Step 1423: Queue length 14, Waiting time 935.0
[Simulate] Step 1424: Queue length 15, Waiting time 950.0
[Simulate] Step 1425: Queue length 15, Waiting time 965.0
[Simulate] Step 1426: Queue length 16, Waiting time 981.0
[Simulate] Step 1427: Queue length 17, Waiting time 998.0
[Simulate] Step 1428: Queue length 17, Waiting time 1015.0
[Simulate] Step 1429: Queue length 17, Waiting time 1032.0
[Simulate] Step 1430: Queue length 17, Waiting time 1049.0
[Simulate] Step 1431: Queue length 17, Waiting time 1066.0
[Simulate] Step 1432: Queue length 17, Waiting time 1083.0
[Simulate] Step 1433: Queue length 17, Waiting time 1100.0
[Simulate] Step 1434: Queue length 17, Waiting time 1117.0
[Simulate] Step 1435: Queue length 17, Waiting time 1134.0
[Simulate] Step 1436: Queue length 17, Waiting time 1151.0
[Simulate] Step 1437: Queue length 17, Waiting time 1168.0
[Simulate] Step 1438: Queue length 17, Waiting time 1185.0
[Simulate] Step 1439: Queue length 17, Waiting time 1202.0
[Simulate] Step 1440: Queue length 17, Waiting time 1219.0
[Simulate] Step 1441: Queue length 17, Waiting time 1236.0
[Simulate] Step 1442: Queue length 17, Waiting time 1253.0
[Simulate] Step 1443: Queue length 18, Waiting time 1271.0
[Simulate] Step 1444: Queue length 18, Waiting time 1289.0
[Simulate] Step 1445: Queue length 18, Waiting time 1307.0
[Simulate] Step 1446: Queue length 18, Waiting time 1325.0
[Simulate] Step 1447: Queue length 18, Waiting time 1343.0
[Simulate] Step 1448: Queue length 18, Waiting time 1361.0
[Simulate] Step 1449: Queue length 18, Waiting time 1379.0
[Simulate] Step 1450: Queue length 18, Waiting time 1397.0
[Simulate] Step 1451: Queue length 18, Waiting time 1415.0
[Simulate] Step 1452: Queue length 18, Waiting time 1433.0
[Simulate] Step 1453: Queue length 18, Waiting time 1451.0
[Simulate] Step 1454: Queue length 18, Waiting time 1469.0
[Simulate] Step 1455: Queue length 18, Waiting time 1487.0
[Simulate] Step 1456: Queue length 18, Waiting time 1505.0
[Simulate] Step 1457: Queue length 19, Waiting time 1524.0
[Simulate] Step 1458: Queue length 19, Waiting time 1543.0
[Simulate] Step 1459: Queue length 19, Waiting time 1562.0
[Simulate] Step 1460: Queue length 19, Waiting time 1581.0
[Simulate] Step 1461: Queue length 19, Waiting time 1600.0
[Simulate] Step 1462: Queue length 20, Waiting time 1620.0
[Simulate] Step 1463: Queue length 20, Waiting time 1640.0
[Simulate] Step 1464: Queue length 20, Waiting time 1660.0
[Simulate] Step 1465: Queue length 20, Waiting time 1680.0
[Simulate] Step 1466: Queue length 20, Waiting time 1700.0
[Simulate] Step 1467: Queue length 20, Waiting time 1720.0
[Simulate] Step 1468: Queue length 20, Waiting time 1740.0
[Simulate] Step 1469: Queue length 20, Waiting time 1760.0
[Simulate] Step 1470: Queue length 20, Waiting time 1780.0
[Simulate] Step 1471: Queue length 20, Waiting time 1800.0
[Simulate] Step 1472: Queue length 20, Waiting time 1820.0
[Step 1472] Agent 0 Action: 0, Reward: -2.0700
[SetYellow] TL TL: Set yellow phase 3 out of 8 phases.
[Simulate] Step 1473: Queue length 20, Waiting time 1840.0
[Simulate] Step 1474: Queue length 20, Waiting time 1860.0
[Simulate] Step 1475: Queue length 20, Waiting time 1880.0
[Simulate] Step 1476: Queue length 20, Waiting time 1900.0
[Step 1476] Adaptive green duration: 50
[Simulate] Step 1477: Queue length 14, Waiting time 1914.0
[Simulate] Step 1478: Queue length 9, Waiting time 1014.0
[Simulate] Step 1479: Queue length 9, Waiting time 1023.0
[Simulate] Step 1480: Queue length 9, Waiting time 1032.0
[Simulate] Step 1481: Queue length 9, Waiting time 1041.0
[Simulate] Step 1482: Queue length 9, Waiting time 606.0
[Simulate] Step 1483: Queue length 9, Waiting time 615.0
[Simulate] Step 1484: Queue length 9, Waiting time 624.0
[Simulate] Step 1485: Queue length 9, Waiting time 633.0
[Simulate] Step 1486: Queue length 9, Waiting time 642.0
[Simulate] Step 1487: Queue length 9, Waiting time 651.0
[Simulate] Step 1488: Queue length 9, Waiting time 660.0
[Simulate] Step 1489: Queue length 9, Waiting time 669.0
[Simulate] Step 1490: Queue length 9, Waiting time 678.0
[Simulate] Step 1491: Queue length 9, Waiting time 687.0
[Simulate] Step 1492: Queue length 9, Waiting time 696.0
[Simulate] Step 1493: Queue length 9, Waiting time 705.0
[Simulate] Step 1494: Queue length 9, Waiting time 714.0
[Simulate] Step 1495: Queue length 9, Waiting time 723.0
[Simulate] Step 1496: Queue length 9, Waiting time 732.0
[Simulate] Step 1497: Queue length 9, Waiting time 741.0
[Simulate] Step 1498: Queue length 9, Waiting time 750.0
[Simulate] Step 1499: Queue length 10, Waiting time 760.0
[Simulate] Step 1500: Queue length 10, Waiting time 770.0
[Simulate] Step 1501: Queue length 10, Waiting time 780.0
[Simulate] Step 1502: Queue length 10, Waiting time 790.0
[Simulate] Step 1503: Queue length 10, Waiting time 800.0
[Simulate] Step 1504: Queue length 10, Waiting time 810.0
[Simulate] Step 1505: Queue length 10, Waiting time 820.0
[Simulate] Step 1506: Queue length 10, Waiting time 830.0
[Simulate] Step 1507: Queue length 10, Waiting time 840.0
[Simulate] Step 1508: Queue length 10, Waiting time 850.0
[Simulate] Step 1509: Queue length 10, Waiting time 860.0
[Simulate] Step 1510: Queue length 10, Waiting time 870.0
[Simulate] Step 1511: Queue length 10, Waiting time 880.0
[Simulate] Step 1512: Queue length 10, Waiting time 890.0
[Simulate] Step 1513: Queue length 10, Waiting time 900.0
[Simulate] Step 1514: Queue length 10, Waiting time 910.0
[Simulate] Step 1515: Queue length 10, Waiting time 920.0
[Simulate] Step 1516: Queue length 10, Waiting time 930.0
[Simulate] Step 1517: Queue length 10, Waiting time 940.0
[Simulate] Step 1518: Queue length 10, Waiting time 950.0
[Simulate] Step 1519: Queue length 10, Waiting time 960.0
[Simulate] Step 1520: Queue length 10, Waiting time 970.0
[Simulate] Step 1521: Queue length 10, Waiting time 980.0
[Simulate] Step 1522: Queue length 10, Waiting time 990.0
[Simulate] Step 1523: Queue length 10, Waiting time 1000.0
[Simulate] Step 1524: Queue length 10, Waiting time 1010.0
[Simulate] Step 1525: Queue length 10, Waiting time 1020.0
[Simulate] Step 1526: Queue length 10, Waiting time 1030.0
[Step 1526] Agent 0 Action: 2, Reward: 1.5800
[SetYellow] TL TL: Set yellow phase 1 out of 8 phases.
[Simulate] Step 1527: Queue length 10, Waiting time 1040.0
[Simulate] Step 1528: Queue length 10, Waiting time 1050.0
[Simulate] Step 1529: Queue length 10, Waiting time 1060.0
[Simulate] Step 1530: Queue length 10, Waiting time 1070.0
[Step 1530] Adaptive green duration: 50
[Simulate] Step 1531: Queue length 4, Waiting time 1074.0
[Simulate] Step 1532: Queue length 1, Waiting time 369.0
[Simulate] Step 1533: Queue length 0, Waiting time 369.0
[Simulate] Step 1534: Queue length 0, Waiting time 369.0
[Simulate] Step 1535: Queue length 0, Waiting time 369.0
[Simulate] Step 1536: Queue length 0, Waiting time 107.0
[Simulate] Step 1537: Queue length 0, Waiting time 107.0
[Simulate] Step 1538: Queue length 0, Waiting time 107.0
[Simulate] Step 1539: Queue length 0, Waiting time 0.0
[Simulate] Step 1540: Queue length 0, Waiting time 0.0
[Simulate] Step 1541: Queue length 0, Waiting time 0.0
[Simulate] Step 1542: Queue length 1, Waiting time 1.0
[Simulate] Step 1543: Queue length 1, Waiting time 2.0
[Simulate] Step 1544: Queue length 1, Waiting time 3.0
[Simulate] Step 1545: Queue length 1, Waiting time 4.0
[Simulate] Step 1546: Queue length 1, Waiting time 5.0
[Simulate] Step 1547: Queue length 1, Waiting time 6.0
[Simulate] Step 1548: Queue length 1, Waiting time 7.0
[Simulate] Step 1549: Queue length 1, Waiting time 8.0
[Simulate] Step 1550: Queue length 1, Waiting time 9.0
[Simulate] Step 1551: Queue length 1, Waiting time 10.0
[Simulate] Step 1552: Queue length 1, Waiting time 11.0
[Simulate] Step 1553: Queue length 1, Waiting time 12.0
[Simulate] Step 1554: Queue length 1, Waiting time 13.0
[Simulate] Step 1555: Queue length 1, Waiting time 14.0
[Simulate] Step 1556: Queue length 1, Waiting time 15.0
[Simulate] Step 1557: Queue length 1, Waiting time 16.0
[Simulate] Step 1558: Queue length 1, Waiting time 17.0
[Simulate] Step 1559: Queue length 1, Waiting time 18.0
[Simulate] Step 1560: Queue length 1, Waiting time 19.0
[Simulate] Step 1561: Queue length 1, Waiting time 20.0
[Simulate] Step 1562: Queue length 1, Waiting time 21.0
[Simulate] Step 1563: Queue length 1, Waiting time 22.0
[Simulate] Step 1564: Queue length 1, Waiting time 23.0
[Simulate] Step 1565: Queue length 1, Waiting time 24.0
[Simulate] Step 1566: Queue length 1, Waiting time 25.0
[Simulate] Step 1567: Queue length 1, Waiting time 26.0
[Simulate] Step 1568: Queue length 1, Waiting time 27.0
[Simulate] Step 1569: Queue length 1, Waiting time 28.0
[Simulate] Step 1570: Queue length 1, Waiting time 29.0
[Simulate] Step 1571: Queue length 1, Waiting time 30.0
[Simulate] Step 1572: Queue length 1, Waiting time 31.0
[Simulate] Step 1573: Queue length 1, Waiting time 32.0
[Simulate] Step 1574: Queue length 1, Waiting time 33.0
[Simulate] Step 1575: Queue length 1, Waiting time 34.0
[Simulate] Step 1576: Queue length 1, Waiting time 35.0
[Simulate] Step 1577: Queue length 1, Waiting time 36.0
[Simulate] Step 1578: Queue length 1, Waiting time 37.0
[Simulate] Step 1579: Queue length 1, Waiting time 38.0
[Simulate] Step 1580: Queue length 1, Waiting time 39.0
[Step 1580] Agent 0 Action: 0, Reward: 1.9720
[SetYellow] TL TL: Set yellow phase 5 out of 8 phases.
[Simulate] Step 1581: Queue length 1, Waiting time 40.0
[Simulate] Step 1582: Queue length 1, Waiting time 41.0
[Simulate] Step 1583: Queue length 1, Waiting time 42.0
[Simulate] Step 1584: Queue length 1, Waiting time 43.0
[Step 1584] Adaptive green duration: 41
[Simulate] Step 1585: Queue length 1, Waiting time 44.0
[Simulate] Step 1586: Queue length 1, Waiting time 45.0
[Simulate] Step 1587: Queue length 1, Waiting time 46.0
[Simulate] Step 1588: Queue length 1, Waiting time 47.0
[Simulate] Step 1589: Queue length 1, Waiting time 48.0
[Simulate] Step 1590: Queue length 1, Waiting time 49.0
[Simulate] Step 1591: Queue length 1, Waiting time 50.0
[Simulate] Step 1592: Queue length 1, Waiting time 51.0
[Simulate] Step 1593: Queue length 1, Waiting time 52.0
[Simulate] Step 1594: Queue length 1, Waiting time 53.0
[Simulate] Step 1595: Queue length 1, Waiting time 54.0
[Simulate] Step 1596: Queue length 1, Waiting time 55.0
[Simulate] Step 1597: Queue length 1, Waiting time 56.0
[Simulate] Step 1598: Queue length 1, Waiting time 57.0
[Simulate] Step 1599: Queue length 1, Waiting time 58.0
[Simulate] Step 1600: Queue length 2, Waiting time 60.0
[Simulate] Step 1601: Queue length 2, Waiting time 62.0
[Simulate] Step 1602: Queue length 2, Waiting time 64.0
[Simulate] Step 1603: Queue length 2, Waiting time 66.0
[Simulate] Step 1604: Queue length 2, Waiting time 68.0
[Simulate] Step 1605: Queue length 2, Waiting time 70.0
[Simulate] Step 1606: Queue length 2, Waiting time 72.0
[Simulate] Step 1607: Queue length 2, Waiting time 74.0
[Simulate] Step 1608: Queue length 2, Waiting time 76.0
[Simulate] Step 1609: Queue length 2, Waiting time 78.0
[Simulate] Step 1610: Queue length 2, Waiting time 80.0
[Simulate] Step 1611: Queue length 2, Waiting time 82.0
[Simulate] Step 1612: Queue length 2, Waiting time 84.0
[Simulate] Step 1613: Queue length 2, Waiting time 86.0
[Simulate] Step 1614: Queue length 3, Waiting time 89.0
[Simulate] Step 1615: Queue length 3, Waiting time 92.0
[Simulate] Step 1616: Queue length 3, Waiting time 95.0
[Simulate] Step 1617: Queue length 3, Waiting time 98.0
[Simulate] Step 1618: Queue length 3, Waiting time 101.0
[Simulate] Step 1619: Queue length 3, Waiting time 104.0
[Simulate] Step 1620: Queue length 3, Waiting time 107.0
[Simulate] Step 1621: Queue length 3, Waiting time 110.0
[Simulate] Step 1622: Queue length 3, Waiting time 113.0
[Simulate] Step 1623: Queue length 3, Waiting time 116.0
[Simulate] Step 1624: Queue length 3, Waiting time 119.0
[Simulate] Step 1625: Queue length 3, Waiting time 122.0
[Step 1625] Agent 0 Action: 2, Reward: -0.2860
[SetYellow] TL TL: Set yellow phase 1 out of 8 phases.
[Simulate] Step 1626: Queue length 3, Waiting time 125.0
[Simulate] Step 1627: Queue length 3, Waiting time 128.0
[Simulate] Step 1628: Queue length 3, Waiting time 131.0
[Simulate] Step 1629: Queue length 3, Waiting time 134.0
[Step 1629] Adaptive green duration: 43
[Simulate] Step 1630: Queue length 2, Waiting time 136.0
[Simulate] Step 1631: Queue length 2, Waiting time 92.0
[Simulate] Step 1632: Queue length 2, Waiting time 94.0
[Simulate] Step 1633: Queue length 2, Waiting time 96.0
[Simulate] Step 1634: Queue length 2, Waiting time 98.0
[Simulate] Step 1635: Queue length 2, Waiting time 100.0
[Simulate] Step 1636: Queue length 2, Waiting time 102.0
[Simulate] Step 1637: Queue length 2, Waiting time 104.0
[Simulate] Step 1638: Queue length 2, Waiting time 106.0
[Simulate] Step 1639: Queue length 2, Waiting time 108.0
[Simulate] Step 1640: Queue length 2, Waiting time 110.0
[Simulate] Step 1641: Queue length 2, Waiting time 112.0
[Simulate] Step 1642: Queue length 2, Waiting time 114.0
[Simulate] Step 1643: Queue length 2, Waiting time 116.0
[Simulate] Step 1644: Queue length 2, Waiting time 118.0
[Simulate] Step 1645: Queue length 2, Waiting time 120.0
[Simulate] Step 1646: Queue length 2, Waiting time 122.0
[Simulate] Step 1647: Queue length 2, Waiting time 124.0
[Simulate] Step 1648: Queue length 2, Waiting time 126.0
[Simulate] Step 1649: Queue length 2, Waiting time 128.0
[Simulate] Step 1650: Queue length 2, Waiting time 130.0
[Simulate] Step 1651: Queue length 2, Waiting time 132.0
[Simulate] Step 1652: Queue length 2, Waiting time 134.0
[Simulate] Step 1653: Queue length 2, Waiting time 136.0
[Simulate] Step 1654: Queue length 3, Waiting time 139.0
[Simulate] Step 1655: Queue length 3, Waiting time 142.0
[Simulate] Step 1656: Queue length 3, Waiting time 145.0
[Simulate] Step 1657: Queue length 3, Waiting time 148.0
[Simulate] Step 1658: Queue length 3, Waiting time 151.0
[Simulate] Step 1659: Queue length 3, Waiting time 154.0
[Simulate] Step 1660: Queue length 3, Waiting time 157.0
[Simulate] Step 1661: Queue length 3, Waiting time 160.0
[Simulate] Step 1662: Queue length 3, Waiting time 163.0
[Simulate] Step 1663: Queue length 3, Waiting time 166.0
[Simulate] Step 1664: Queue length 3, Waiting time 169.0
[Simulate] Step 1665: Queue length 3, Waiting time 172.0
[Simulate] Step 1666: Queue length 3, Waiting time 175.0
[Simulate] Step 1667: Queue length 3, Waiting time 178.0
[Simulate] Step 1668: Queue length 4, Waiting time 182.0
[Simulate] Step 1669: Queue length 4, Waiting time 186.0
[Simulate] Step 1670: Queue length 4, Waiting time 190.0
[Simulate] Step 1671: Queue length 4, Waiting time 194.0
[Simulate] Step 1672: Queue length 4, Waiting time 198.0
[Step 1672] Agent 0 Action: 2, Reward: -0.2620
[Step 1672] Adaptive green duration: 46
[Simulate] Step 1673: Queue length 4, Waiting time 202.0
[Simulate] Step 1674: Queue length 4, Waiting time 206.0
[Simulate] Step 1675: Queue length 4, Waiting time 210.0
[Simulate] Step 1676: Queue length 4, Waiting time 214.0
[Simulate] Step 1677: Queue length 4, Waiting time 218.0
[Simulate] Step 1678: Queue length 4, Waiting time 222.0
[Simulate] Step 1679: Queue length 4, Waiting time 226.0
[Simulate] Step 1680: Queue length 4, Waiting time 230.0
[Simulate] Step 1681: Queue length 4, Waiting time 234.0
[Simulate] Step 1682: Queue length 4, Waiting time 238.0
[Simulate] Step 1683: Queue length 4, Waiting time 242.0
[Simulate] Step 1684: Queue length 4, Waiting time 246.0
[Simulate] Step 1685: Queue length 4, Waiting time 250.0
[Simulate] Step 1686: Queue length 4, Waiting time 254.0
[Simulate] Step 1687: Queue length 4, Waiting time 258.0
[Simulate] Step 1688: Queue length 4, Waiting time 262.0
[Simulate] Step 1689: Queue length 4, Waiting time 266.0
[Simulate] Step 1690: Queue length 4, Waiting time 270.0
[Simulate] Step 1691: Queue length 4, Waiting time 274.0
[Simulate] Step 1692: Queue length 4, Waiting time 278.0
[Simulate] Step 1693: Queue length 4, Waiting time 282.0
[Simulate] Step 1694: Queue length 4, Waiting time 286.0
[Simulate] Step 1695: Queue length 4, Waiting time 290.0
[Simulate] Step 1696: Queue length 4, Waiting time 294.0
[Simulate] Step 1697: Queue length 4, Waiting time 298.0
[Simulate] Step 1698: Queue length 4, Waiting time 302.0
[Simulate] Step 1699: Queue length 4, Waiting time 306.0
[Simulate] Step 1700: Queue length 4, Waiting time 310.0
[Simulate] Step 1701: Queue length 4, Waiting time 314.0
[Simulate] Step 1702: Queue length 4, Waiting time 318.0
[Simulate] Step 1703: Queue length 4, Waiting time 322.0
[Simulate] Step 1704: Queue length 4, Waiting time 326.0
[Simulate] Step 1705: Queue length 4, Waiting time 330.0
[Simulate] Step 1706: Queue length 4, Waiting time 334.0
[Simulate] Step 1707: Queue length 4, Waiting time 338.0
[Simulate] Step 1708: Queue length 5, Waiting time 343.0
[Simulate] Step 1709: Queue length 5, Waiting time 348.0
[Simulate] Step 1710: Queue length 5, Waiting time 353.0
[Simulate] Step 1711: Queue length 5, Waiting time 358.0
[Simulate] Step 1712: Queue length 5, Waiting time 363.0
[Simulate] Step 1713: Queue length 5, Waiting time 368.0
[Simulate] Step 1714: Queue length 5, Waiting time 373.0
[Simulate] Step 1715: Queue length 6, Waiting time 379.0
[Simulate] Step 1716: Queue length 6, Waiting time 385.0
[Simulate] Step 1717: Queue length 6, Waiting time 391.0
[Simulate] Step 1718: Queue length 6, Waiting time 397.0
[Step 1758] Agent 0 Action: 0, Reward: -0.3400
[SetYellow] TL TL: Set yellow phase 5 out of 8 phases.
[Simulate] Step 1759: Queue length 12, Waiting time 590.0
[Simulate] Step 1760: Queue length 12, Waiting time 602.0
[Simulate] Step 1761: Queue length 13, Waiting time 615.0
[Simulate] Step 1762: Queue length 13, Waiting time 628.0
[Step 1762] Adaptive green duration: 50
[Simulate] Step 1763: Queue length 8, Waiting time 636.0
[Simulate] Step 1764: Queue length 5, Waiting time 235.0
[Simulate] Step 1765: Queue length 4, Waiting time 239.0
[Simulate] Step 1766: Queue length 4, Waiting time 243.0
[Simulate] Step 1767: Queue length 4, Waiting time 247.0
[Simulate] Step 1768: Queue length 4, Waiting time 158.0
[Simulate] Step 1769: Queue length 4, Waiting time 162.0
[Simulate] Step 1770: Queue length 4, Waiting time 166.0
[Simulate] Step 1771: Queue length 4, Waiting time 140.0
[Simulate] Step 1772: Queue length 4, Waiting time 144.0
[Simulate] Step 1773: Queue length 4, Waiting time 148.0
[Simulate] Step 1774: Queue length 4, Waiting time 152.0
[Simulate] Step 1775: Queue length 4, Waiting time 156.0
[Simulate] Step 1776: Queue length 4, Waiting time 160.0
[Simulate] Step 1777: Queue length 4, Waiting time 164.0
[Simulate] Step 1778: Queue length 4, Waiting time 168.0
[Simulate] Step 1779: Queue length 4, Waiting time 172.0
[Simulate] Step 1780: Queue length 4, Waiting time 176.0
[Simulate] Step 1781: Queue length 4, Waiting time 180.0
[Simulate] Step 1782: Queue length 4, Waiting time 184.0
[Simulate] Step 1783: Queue length 4, Waiting time 188.0
[Simulate] Step 1784: Queue length 4, Waiting time 192.0
[Simulate] Step 1785: Queue length 4, Waiting time 196.0
[Simulate] Step 1786: Queue length 5, Waiting time 201.0
[Simulate] Step 1787: Queue length 5, Waiting time 206.0
[Simulate] Step 1788: Queue length 5, Waiting time 211.0
[Simulate] Step 1789: Queue length 5, Waiting time 216.0
[Simulate] Step 1790: Queue length 5, Waiting time 221.0
[Simulate] Step 1791: Queue length 5, Waiting time 226.0
[Simulate] Step 1792: Queue length 6, Waiting time 232.0
[Simulate] Step 1793: Queue length 6, Waiting time 238.0
[Simulate] Step 1794: Queue length 6, Waiting time 244.0
[Simulate] Step 1795: Queue length 6, Waiting time 250.0
[Simulate] Step 1796: Queue length 6, Waiting time 256.0
[Simulate] Step 1797: Queue length 6, Waiting time 262.0
[Simulate] Step 1798: Queue length 6, Waiting time 268.0
[Simulate] Step 1799: Queue length 6, Waiting time 274.0
[Simulate] Step 1800: Queue length 6, Waiting time 280.0
[Simulate] Step 1801: Queue length 6, Waiting time 286.0
[Simulate] Step 1802: Queue length 6, Waiting time 292.0
[Simulate] Step 1803: Queue length 6, Waiting time 298.0
[Simulate] Step 1804: Queue length 6, Waiting time 304.0
[Simulate] Step 1805: Queue length 6, Waiting time 310.0
[Simulate] Step 1806: Queue length 6, Waiting time 316.0
[Simulate] Step 1807: Queue length 6, Waiting time 322.0
[Simulate] Step 1808: Queue length 6, Waiting time 328.0
[Simulate] Step 1809: Queue length 6, Waiting time 334.0
[Simulate] Step 1810: Queue length 6, Waiting time 340.0
[Simulate] Step 1811: Queue length 6, Waiting time 346.0
[Simulate] Step 1812: Queue length 6, Waiting time 352.0
[Step 1812] Agent 0 Action: 0, Reward: 0.4120
[Step 1812] Adaptive green duration: 50
[Simulate] Step 1813: Queue length 6, Waiting time 358.0
[Simulate] Step 1814: Queue length 7, Waiting time 365.0
[Simulate] Step 1815: Queue length 7, Waiting time 372.0
[Simulate] Step 1816: Queue length 8, Waiting time 380.0
[Simulate] Step 1817: Queue length 8, Waiting time 388.0
[Simulate] Step 1818: Queue length 8, Waiting time 396.0
[Simulate] Step 1819: Queue length 8, Waiting time 404.0
[Simulate] Step 1820: Queue length 8, Waiting time 412.0
[Simulate] Step 1821: Queue length 9, Waiting time 421.0
[Simulate] Step 1822: Queue length 9, Waiting time 430.0
[Simulate] Step 1823: Queue length 9, Waiting time 439.0
[Simulate] Step 1824: Queue length 9, Waiting time 448.0
[Simulate] Step 1825: Queue length 9, Waiting time 457.0
[Simulate] Step 1826: Queue length 9, Waiting time 466.0
[Simulate] Step 1827: Queue length 9, Waiting time 475.0
[Simulate] Step 1828: Queue length 10, Waiting time 485.0
[Simulate] Step 1829: Queue length 10, Waiting time 495.0
[Simulate] Step 1830: Queue length 10, Waiting time 505.0
[Simulate] Step 1831: Queue length 10, Waiting time 515.0
[Simulate] Step 1832: Queue length 10, Waiting time 525.0
[Simulate] Step 1833: Queue length 10, Waiting time 535.0
[Simulate] Step 1834: Queue length 10, Waiting time 545.0
[Simulate] Step 1835: Queue length 10, Waiting time 555.0
[Simulate] Step 1836: Queue length 10, Waiting time 565.0
[Simulate] Step 1837: Queue length 10, Waiting time 575.0
[Simulate] Step 1838: Queue length 10, Waiting time 585.0
[Simulate] Step 1839: Queue length 10, Waiting time 595.0
[Simulate] Step 1840: Queue length 10, Waiting time 605.0
[Simulate] Step 1841: Queue length 10, Waiting time 615.0
[Simulate] Step 1842: Queue length 10, Waiting time 625.0
[Simulate] Step 1843: Queue length 10, Waiting time 635.0
[Simulate] Step 1844: Queue length 10, Waiting time 645.0
[Simulate] Step 1845: Queue length 10, Waiting time 655.0
[Simulate] Step 1846: Queue length 10, Waiting time 665.0
[Simulate] Step 1847: Queue length 10, Waiting time 675.0
[Simulate] Step 1848: Queue length 10, Waiting time 685.0
[Simulate] Step 1849: Queue length 10, Waiting time 695.0
[Simulate] Step 1850: Queue length 10, Waiting time 705.0
[Simulate] Step 1851: Queue length 10, Waiting time 715.0
[Simulate] Step 1852: Queue length 10, Waiting time 725.0
[Simulate] Step 1853: Queue length 10, Waiting time 735.0
[Simulate] Step 1854: Queue length 10, Waiting time 745.0
[Simulate] Step 1855: Queue length 10, Waiting time 755.0
[Simulate] Step 1856: Queue length 10, Waiting time 765.0
[Simulate] Step 1857: Queue length 10, Waiting time 775.0
[Simulate] Step 1858: Queue length 10, Waiting time 785.0
[Simulate] Step 1859: Queue length 10, Waiting time 795.0
[Simulate] Step 1860: Queue length 10, Waiting time 805.0
[Simulate] Step 1861: Queue length 10, Waiting time 815.0
[Simulate] Step 1862: Queue length 10, Waiting time 825.0
[Step 1862] Agent 0 Action: 2, Reward: -1.0860
[SetYellow] TL TL: Set yellow phase 1 out of 8 phases.
[Simulate] Step 1863: Queue length 10, Waiting time 835.0
[Simulate] Step 1864: Queue length 10, Waiting time 845.0
[Simulate] Step 1865: Queue length 10, Waiting time 855.0
[Simulate] Step 1866: Queue length 10, Waiting time 865.0
[Step 1866] Adaptive green duration: 50
[Simulate] Step 1867: Queue length 6, Waiting time 871.0
[Simulate] Step 1868: Queue length 5, Waiting time 502.0
[Simulate] Step 1869: Queue length 5, Waiting time 507.0
[Simulate] Step 1870: Queue length 5, Waiting time 512.0
[Simulate] Step 1871: Queue length 5, Waiting time 517.0
[Simulate] Step 1872: Queue length 5, Waiting time 475.0
[Simulate] Step 1873: Queue length 5, Waiting time 480.0
[Simulate] Step 1874: Queue length 5, Waiting time 485.0
[Simulate] Step 1875: Queue length 5, Waiting time 490.0
[Simulate] Step 1876: Queue length 5, Waiting time 495.0
[Simulate] Step 1877: Queue length 5, Waiting time 500.0
[Simulate] Step 1878: Queue length 5, Waiting time 505.0
[Simulate] Step 1879: Queue length 5, Waiting time 510.0
